name	aliases	hip	hip_component	hr	hd	hd_component	vmag	source	src_id
Elkurud		29034		2177	42167		4.994	nec	2174
Hoerikwaggo		29271		2261	43834		5.069	nec	2195
Propus		29655		2216	42995		3.28	nec	2227
Furud		30122		2282	44402		2.99	nec	2275
Mirzam		30324		2294	44743		1.97	nec	2290
Tejat		30343		2286	44478		2.87	nec	2292
Canopus		30438		2326	45348		-0.74	nec	2304
Alhena		31681		2421	47105		1.92	nec	2432
Pipit		31685		2451	47670		3.17	nec	2433
Mebsuta		32246		2473	48329		2.98	nec	2478
Sirius		32349		2491	48915		-1.46	nec	2486
Alzirr		32362		2484	48737		3.36	nec	2487
Adhara		33579		2618	52089		1.5	nec	2605
Unurgunite		33856		2646	52877		3.49	nec	2617
Citalá		33719		2622	52265		6.282	nec	2620
Nganurganity	Unurgunite	33856		2646	52877		3.47	nec	2628
Muliphein		34045		2657	53244		4.12	nec	2641
Mekbuda		34088		2650	52973		3.79	nec	2648
Wezen		34444		2693	54605		1.84	nec	2676
Wasat		35550		2777	56986		3.53	nec	2772
Aludra		35904		2827	58350		2.45	nec	2798
Gomeisa		36188		2845	58715		2.89	nec	2826
Castor		36850		2891	60179		1.58	nec	2885
Jishui		37265		2930	61110		4.9	nec	2920
Procyon		37279		2943	61421		0.37	nec	2922
Pollux		37826		2990	62509		1.14	nec	2980
Azmidi		38170		3045	63700		3.3	nec	3016
Tegmine		40167		3210	68255		4.67	nec	3110
Alsephina		42913		3485	74956		1.93	nec	3132
Copernicus		43587		3522	75732		5.96	nec	3135
Naos		39429		3165	66811		2.25	nec	3137
Tureis		39757		3185	67523		2.81	nec	3159
Tarf		40526		3249	69267		3.52	nec	3228
Piautos		40881		3268	70011		5.93	nec	3255
Avior		41037		3307	71129		2.01	nec	3268
Alsciaukat		41075		3275	70272		4.25	nec	3277
Muscida		41704		3323	71369		3.42	nec	3330
Minchir		42402		3418	73471		4.43	nec	3393
Meleph		42556		3429	73731		6.29	nec	3418
Asellus Borealis		42806		3449	74198		4.652	nec	3439
Asellus Australis		42911		3461	74442		3.94	nec	3447
Ashlesha		43109		3482	74874		3.38	nec	3465
Acubens		44066		3572	76756		4.249	nec	3548
Talitha		44127		3569	76644		3.13	nec	3552
Talitha		44127		3569	76644		3.14	nec	3553
Alkaphrah		44471		3594	77327		3.55	nec	3579
Suhail		44816		3634	78647		2.21	nec	3595
Nahn		44946		3627	78515		5.149	nec	3607
Miaplacidus		45238		3685	80007		1.69	nec	3632
Aspidiske		45556		3699	80404		2.26	nec	3664
Markeb		45941		3734	81188		2.473	nec	3695
Alphard		46390		3748	81797		1.97	nec	3723
Intercrus		46471		3743	81688		5.393	nec	3730
Alterf		46750		3773	82308		4.31	nec	3757
Ukdah		47431		3845	83618		3.91	nec	3818
Subra		47508		3852	83808		3.52	nec	3823
Zhang		48356		3903	85444		4.11	nec	3878
Rasalas		48455		3905	85503		3.88	nec	3885
Felis		48615		3923	85951		4.94	nec	3894
Chalawan		53721		4277	95128		5.05	nec	3934
Yunü	Yunu	49637		3980	87837		4.38	nec	3952
Regulus		49669		3982	87901		1.4	nec	3957
Adhafera		50335		4031	89025		3.41	nec	4006
Tania Borealis		50372		4033	89021		3.45	nec	4009
Algieba		50583		4057	89484		1.98	nec	4028
Tania Australis		50801		4069	89758		3.05	nec	4042
Shaomin		51624		4133	91316		3.87	nec	4111
Praecipua		53229		4247	94264		3.83	nec	4235
Alkes		53740		4287	95272		4.07	nec	4274
Merak		53910		4295	95418		2.37	nec	4290
Dubhe		54061		4301	95689		1.79	nec	4301
Zosma		54872		4357	97603		2.53	nec	4355
Chertan		54879		4359	97633		3.35	nec	4356
Alula Australis		55203					3.79	nec	4371
Alula Borealis		55219		4377	98262		3.49	nec	4372
Giausar		56211		4434	100029		3.85	nec	4432
Formosa		56508		4459	100655		6.438	nec	4458
Taiyangshou		57399		4518	102224		3.72	nec	4521
Denebola		57632		4534	102647		2.13	nec	4535
Zavijava		57757		4540	102870		3.6	nec	4543
Phecda		58001		4554	103287		2.44	nec	4557
Tonatiuh		58952		4609	104985		5.8	nec	4591
Alchiba		59199		4623	105452		4.01	nec	4629
Imai		59747		4656	106490		2.752	nec	4663
Megrez		59774		4660	106591		3.32	nec	4666
Gienah		59803		4662	106625		2.58	nec	4669
Zaniah		60129		4689	107259		3.9	nec	4693
Ginan		60260		4700	107446		3.57	nec	4704
Acrux		60718					0.76	nec	4739
Algorab		60965		4757	108767		2.94	nec	4761
Gacrux		61084		4763	108903		1.64	nec	4770
Chara		61317		4785	109358		4.25	nec	4789
Kraz		61359		4786	109379		2.64	nec	4793
Phyllon Kissinou		61394		4789	109485		4.773	nec	4796
Porrima		61941		4825	110379		2.74	nec	4834
La Superba		62223		4846	110914		4.87	nec	4854
Tianyi		62423		4863	111335		5.423	nec	4867
Mimosa		62434		4853	111123		1.25	nec	4868
Alioth		62956		4905	112185		1.77	nec	4905
Taiyi		63076		4916	112429		5.225	nec	4916
Minelauva		63090		4910	112300		3.38	nec	4917
Cor Caroli		63125		4915	112413		2.88	nec	4921
Mizar		65378		5054	116656		2.22	nec	4941
Vindemiatrix		63608		4932	113226		2.79	nec	4942
Diadem		64241		4968	114378		4.32	nec	4979
Diadem		64241		4968	114378		4.8	nec	4980
Kulou		65109		5028	115892		2.73	nec	5035
Spica		65474		5056	116658		0.97	nec	5061
Alcor		65477		5062	116842		4.01	nec	5062
Heze		66249		5107	118098		3.38	nec	5113
Alkaid		67301		5191	120315		1.86	nec	5192
Heng		67464		5190	120307		3.386	nec	5197
Muphrid		67927		5235	121370		2.68	nec	5230
Leepwal		68002		5231	121263		2.55	nec	5234
Hadar		68702		5267	122451		0.58	nec	5274
Thuban		68756		5291	123299		3.68	nec	5278
Menkent		68933		5288	123139		2.05	nec	5287
Kang		69427		5315	124294		4.21	nec	5313
Arcturus		69673		5340	124897		-0.05	nec	5331
Syrma		69701		5338	124850		4.08	nec	5332
Xuange		69732		5351	125162		4.18	nec	5336
Khambalia		69974		5359	125337		4.52	nec	5353
Elgafar		70755		5409	126868		4.84	nec	5405
Seginus		71075		5435	127762		3.02	nec	5421
Toliman		71681		5460	128621		1.33	nec	5459
Rigil Kentaurus		71683		5459	128620		0.01	nec	5460
Uridim		71860		5469	129056		2.286	nec	5473
Xami		71908		5463	128898		3.19	nec	5478
Izar		72105		5506	129989		2.45	nec	5488
Paradys		72370		5470	129078		3.798	nec	5511
Merga		72487		5533	130945		5.757	nec	5518
Solitaire		72571		5526	130694		4.41	nec	5527
Kochab		72607		5563	131873		2.08	nec	5529
Zubenelgenubi		72622		5531	130841		2.75	nec	5530
Quadrans		73695		5618	133640		4.83	nec	5582
Alkalurops		75411		5733	137391		4.31	nec	5589
Nekkar		73555		5602	133208		3.52	nec	5593
Brachium		73714		5603	133216		3.21	nec	5604
Zubeneschamali		74785		5685	135742		2.62	nec	5685
Pherkad		75097		5735	137422		3.002	nec	5708
Edasich		75458		5744	137759		3.29	nec	5741
Nusakan		75695		5747	137909		3.68	nec	5751
Alphecca		76267		5793	139006		2.24	nec	5791
Zubenelhakrabi		76333		5787	138905		3.91	nec	5799
Unukalhai		77070		5854	140573		2.63	nec	5865
Zhou		77233		5867	141003		3.67	nec	5872
Gudja		77450		5879	141477		4.09	nec	5888
Iklil		78104		5928	142669		3.86	nec	5942
Fang		78265		5944	143018		2.91	nec	5955
Dschubba		78401		5953	143275		2.32	nec	5964
Acrab		78820		5984	144217		2.5	nec	5996
Acrab		78820		5984	144217		2.62	nec	5997
Marsic		79043		6008	145001		4.994	nec	6016
Jabbah		79374		6027	145502	A	4.349	nec	6040
Jabbah		79374		6027	145502		4	nec	6041
Yed Prior		79593		6056	146051		2.75	nec	6059
Yed Posterior		79882		6075	146791		3.23	nec	6087
Alniyat		80112		6084	147165		2.89	nec	6103
Athebyne		80331		6132	148387		2.74	nec	6117
Cujam		80463		6117	148112		4.58	nec	6129
Antares		80763		6134	148478		0.91	nec	6150
Kornephoros		80816		6148	148856		2.77	nec	6156
Marfik		80883		6149	148857		4.15	nec	6160
Marfik		80883		6149	148857		3.9	nec	6161
Paikauhale		81266		6165	149438		2.81	nec	6183
Atria		82273		6217	150798		1.88	nec	6260
Larawag		82396		6241	151680		2.29	nec	6268
Xamidimura		82514		6247	151890		2.98	nec	6279
Pipirima		82545		6252	151985		3.542	nec	6285
Alrakis		83608		6370	154906		4.91	nec	6352
Rasalgethi		84345		6406	156014		2.78	nec	6357
Aldhibah		83895		6396	155763		3.17	nec	6408
Sabik		84012		6378	155125		2.463	nec	6415
Sabik		84012		6378	155125		2.42	nec	6416
Sarin		84379		6410	156164		3.13	nec	6437
Guniibuu		84405		6402	155886		5.08	nec	6441
Rastaban		85670		6536	159181		2.81	nec	6555
Maasym		85693		6526	158899		4.41	nec	6558
Lesath		85696		6508	158408		2.65	nec	6559
Yildun		85822		6789	166205		4.336	nec	6573
Shaula		85927		6527	158926		1.63	nec	6580
Rasalhague		86032		6556	159561		2.07	nec	6587
Sargas		86228		6553	159532		1.85	nec	6606
Dziban		86614		6636	162003		4.55	nec	6635
Cebalrai		86742		6603	161096		2.75	nec	6649
Alruba		86782		6618	161693		5.76	nec	6652
Cervantes		86796		6585	160691		5.15	nec	6653
Bake-eo	Bake Eo	87108		6629	161868		3.75	nec	6670
Fuyue		87261		6630	161892		3.21	nec	6680
Grumium		87585		6688	163588		3.75	nec	6713
Eltanin		87833		6705	164058		2.23	nec	6733
Alnasl		88635		6746	165135		2.99	nec	6801
Polis		89341		6812	166937		3.85	nec	6858
Kaus Media		89931		6859	168454		2.668	nec	6902
Kaus Australis		90185		6879	169022		1.81	nec	6930
Fafnir		90344		6945	170693		4.823	nec	6945
Kaus Borealis		90496		6913	169916		2.81	nec	6957
Vega		91262		7001	172167		0.03	nec	7022
Xihe		91852		7043	173416		6.037	nec	7058
Sheliak		92420		7106	174638		3.42	nec	7118
Ainalrami		92761		7116	174974		4.845	nec	7147
Nunki		92855		7121	175191		2.067	nec	7159
Alya		92946		7141	175638		4.57	nec	7166
Sulafat		93194		7178	176437		3.25	nec	7197
Ascella		93506		7194	176687		2.59	nec	7227
Okab		93747		7235	177724		2.99	nec	7245
Meridiana		94114		7254	178253		4.087	nec	7277
Albaldah		94141		7264	178524		2.88	nec	7280
Altais		94376		7310	180711		3.07	nec	7294
Aladfar		94481		7298	180163		4.398	nec	7302
Gumala		94645		7291	179949		6.237	nec	7312
Arkab Prior		95241		7337	181454		4.01	nec	7358
Arkab Posterior		95294		7343	181623		4.27	nec	7363
Rukbat		95347		7348	181869		3.943	nec	7365
Anser		95771		7405	183439		4.45	nec	7396
Albireo		95947		7417	183912		3.08	nec	7410
Albireo A		95947		7417	183912		3.2	nec	7411
Albireo B		95947			183913		5.15	nec	7412
Alsafi		96100		7462	185144		4.68	nec	7423
Sham		96757		7479	185758		4.38	nec	7477
Fawaris		97165		7528	186882		2.87	nec	7517
Tarazed		97278		7525	186791		2.72	nec	7523
Altair		97649		7557	187642		0.76	nec	7558
Libertas		97938		7595	188310		4.707	nec	7581
Alshain		98036		7602	188512		3.71	nec	7592
Terebellum		98066		7597	188376		4.7	nec	7595
Tianfu		98823		7669	190327		5.508	nec	7663
Antinous		99473		7710	191692		3.22	nec	7698
Chechia		99894			192699		6.446	nec	7731
Algedi		100064		7754	192947		3.58	nec	7744
Alshat		100310		7773	193432		4.76	nec	7768
Dabih		100345		7776	193495		3.08	nec	7771
Sadr		100453		7796	194093		2.23	nec	7778
Peacock		100751		7790	193924		1.918	nec	7796
Aldulfin		101421		7852	195810		4.03	nec	7843
Rotanev		101769		7882	196524		3.63	nec	7869
Sualocin		101958		7906	196867		3.8	nec	7889
Deneb		102098		7924	197345		1.25	nec	7908
Aljanah		102488		7949	197989		2.48	nec	7934
Albali		102618		7950	198001		3.77	nec	7948
Musica		103527		8030	199665		5.506	nec	8014
Polaris Australis		104382		7228	177482		5.42	nec	8079
Kitalpha		104987		8131	202447		3.933	nec	8114
Alderamin		105199		8162	203280		2.46	nec	8132
Alfirk		106032		8238	205021		3.23	nec	8192
Sadalsuud		106278		8232	204867		2.89	nec	8207
Bunda		106786		8264	205767		4.69	nec	8243
Nashira		106985		8278	206088		3.67	nec	8256
Azelfafage		107136		8301	206672		4.66	nec	8266
Garnet Star		107259		8316	206936		4.08	nec	8280
Enif		107315		8308	206778		2.39	nec	8287
Deneb Algedi		107556		8322	207098		2.83	nec	8304
Aldhanab		108085		8353	207971		3.01	nec	8338
Kurhah		108917		8417	209790		4.45	nec	8385
Kurhah		108917		8417	209790		4.29	nec	8386
Sadalmelik		109074		8414	209750		2.94	nec	8399
Alnair		109268		8425	209952		1.71	nec	8414
Biham		109427		8450	210418		3.55	nec	8431
Ancha		110003		8499	211391		4.16	nec	8479
Lang-Exster		110130		8502	211416		2.82	nec	8488
Sadachbia		110395		8518	212061		3.834	nec	8503
Stellio		111169		8585	213558		3.77	nec	8558
Situla		111710		8610	214376		5.03	nec	8593
Homam		112029		8634	214923		3.41	nec	8613
Tiaki		112122		8636	214952		2.11	nec	8621
Matar		112158		8650	215182		2.95	nec	8625
Sadalbari		112748		8684	216131		3.48	nec	8662
Skat		113136		8709	216627		3.28	nec	8689
Tengshe		113288		8726	216946		4.94	nec	8704
Helvetios		113357		8729	217014		5.46	nec	8708
Fomalhaut		113368		8728	216956		1.16	nec	8710
Alfarasalkamil		113726		8762	217675		3.62	nec	8737
Veritate		116076		8930	221345		5.22	nec	8738
Errai		116727		8974	222404		3.21	nec	8742
Scheat		113881		8775	217906		2.42	nec	8748
Fumalsamakah		113889		8773	217891		4.52	nec	8749
Markab		113963		8781	218045		2.48	nec	8753
Safina		114341		8812	218594		3.64	nec	8781
Salm		115250		8880	220061		4.58	nec	8843
Alkarab		115623		8905	220657		4.4	nec	8868
Rasalnaqa		116631		8965	222173		4.29	nec	8931
Kaffalmusalsala		116805		8976	222439		4.14	nec	8941
Parumleo							11.26	faints	10000
Citadelle		1547			1502		8.52	faints	10001
Felixvarela		2247					9.566	faints	10002
Cocibolca		3479			4208		7.78	faints	10003
Nenque		5054			6434		7.71	faints	10004
Emiw		5529			7199		8.027	faints	10005
Bélénos		6643			8574		7.112	faints	10006
Mpingo							10.56	faints	10007
Buna		12191			16175		7.282	faints	10008
Koeia		12961					10.24	faints	10009
Nushagak		13192			17156		8.172	faints	10010
Muspelheim							11.83	faints	10011
Horna							12.51	faints	10012
Diya							10.84	faints	10013
Chaophraya							11.44	faints	10014
Ayeyarwady		13993			18742		7.97	faints	10015
Intan		15578			20868		9.92	faints	10016
Tupi		17096			23079		7.12	faints	10017
Tojil							11.99	faints	10018
Hoggar		21109			28678		8.54	faints	10019
Mouhoun		22491			30856		8.07	faints	10020
Berehynia							12.41	faints	10021
Montuno							10.04	faints	10022
Bubup		26380			38283		6.696	faints	10023
Naledi							10.21	faints	10024
Amadioha		29550			43197		8.98	faints	10025
Lucilinburhuc		30860			45350		7.885	faints	10026
Lusitânia		30905			45652		8.127	faints	10027
Nosaxa		31895			48265		8.05	faints	10028
Nervia		32916			49674		8.1	faints	10029
Kosjenka							11.15	faints	10030
Geminga								faints	10031
Atakoraka								faints	10032
Ceibo		37284			63454		9.37	faints	10033
Tapecue		38041			63765		8.104	faints	10034
Dilmun							10.51	faints	10035
Tevel							12.34	faints	10036
Koit							10.78	faints	10037
Absolutno							12.1	faints	10038
Kaewkosin								faints	10039
Násti		40687			68988		8.2	faints	10040
Gakyid		42446			73534		8.23	faints	10041
Stribor		43674			75898		8.03	faints	10042
Maru							13.7	faints	10043
Tislit							11.08	faints	10044
Lerna							12.17	faints	10045
Illyrian		47087			82886		7.78	faints	10046
Kalausi		47202			83443		8.222	faints	10047
Natasha		48235			85390		8.526	faints	10048
Bibhā		48711			86081		8.73	faints	10049
Gloas							10.42	faints	10050
Filetdor							9.35	faints	10051
Añañuca		47780					9.979	faints	10052
Wattle							12.31	faints	10053
Macondo		52521			93083		8.3	faints	10054
Gnomon							12.49	faints	10055
Aiolos		53524			95086		7.36	faints	10056
Dingolay		54158			96063		8.37	faints	10057
Hunahpú		55174			98219		8.21	faints	10058
Amansinaya							10.28	faints	10059
Shama		55664			99109		9.1	faints	10060
Sagarmatha		56572			100777		8.418	faints	10061
Uklun		57291			102117		7.47	faints	10062
Flegetonte		57370			102195		8.062	faints	10063
Aniara		57820			102956		7.851	faints	10064
Mazaalai							11.56	faints	10065
Noquisi		57087					10.613	faints	10066
Tupã		60644			108147		6.995	faints	10067
Funi		61177			109246		8.77	faints	10068
Tuiren							12.15	faints	10069
Gar		62452					11.395	faints	10070
Lich								faints	10071
Matza		65426			116434		7.01	faints	10072
Dofida		66047			117618		7.169	faints	10073
Liesma		66192			118203		8.05	faints	10074
Dombay							11.86	faints	10075
Nyamien							10.91	faints	10076
Komondor							12.84	faints	10077
Proxima Centauri		70890					11.01	faints	10078
Arcalís		72845			131496		7.96	faints	10079
Baekdu		73136			133086		6.83	faints	10080
Guahayona							11.76	faints	10081
Malmok							12.09	faints	10082
Mönch		72339			130322		8.031	faints	10083
Nikawiy		74961			136418		7.879	faints	10084
Karaka		76351			137388		8.71	faints	10085
Dìwö							11.59	faints	10086
Kamuy		79219			145457		6.566	faints	10087
Sharjah		79431					11.34	faints	10088
Timir		80687			148427		6.895	faints	10089
Ogma		80838			149026		8.15	faints	10090
Rosalíadecastro		81022			149143		7.893	faints	10091
Moldoveanu							11.25	faints	10092
Mahsati		82651			152581		8.54	faints	10093
Irena							9.39	faints	10094
Hunor		80076			147506		8.69	faints	10095
Rapeto		83547			153950		7.39	faints	10096
Inquill		84787			156411		6.673	faints	10097
Barnard's Star		87937					9.54	faints	10098
Orkaria							14.71	faints	10099
Franz							9.99	faints	10100
Pipoltr							12.4	faints	10101
Pincoya		88414			164604		9.827	faints	10102
Alasia		90004			168746		7.946	faints	10103
Kaveh		92895			175541		8.03	faints	10104
Chasoň							11.95	faints	10105
Belel		95124			181342		7.55	faints	10106
Sika		95262			181720		7.849	faints	10107
Uruk		96078			231701		8.97	faints	10108
Petra							11.39	faints	10109
Sansuna							10.4	faints	10110
Phoenicia		99711			192263		7.79	faints	10111
Moriah							11.94	faints	10112
Wouri							9.87	faints	10113
Sāmaya		106824			205739		8.56	faints	10114
Bosona		107251			206610		8.346	faints	10115
Itonda		108375			208487		7.471	faints	10116
Solaris		104780						faints	10117
Lionrock		110813			212771		7.595	faints	10118
Taika							11.34	faints	10119
Zembra							12.469	faints	10120
Batsũ̀							15.26	faints	10121
Ebla		114322			218566		8.63	faints	10122
Poerava		116084			221287		7.807	faints	10123
Axólotl		118319			224693		8.216	faints	10124
Tangra							11.55	faints	10125
Márohu							11.91	faints	10126
Anadolu							12	faints	10127
Danfeng		115211					11.02	faints	10128
Sterrennacht							10.47	faints	10129
Morava							12.18	faints	10130
Uúba		117883					9.76	faints	10131
