sid	retired	reason	successor_sid
312254	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
312282	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
312514	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
312931	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
313296	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
313414	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
313636	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
313681	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
314061	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
314253	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
314404	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
314995	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
315100	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
315272	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
315858	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
316053	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
316084	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
316349	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
316428	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
316606	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
316836	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
316956	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
317242	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
317265	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
317297	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
317547	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
317797	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
317851	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
317916	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
318130	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
318226	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
318236	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
318348	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
318427	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
318571	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
318611	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
318647	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
318839	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
318891	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
318905	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
318991	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
319170	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
319273	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
319520	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
319574	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
319624	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
319711	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
319868	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
319901	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
320034	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
320250	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
320668	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
320740	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
320814	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
320831	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
320877	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
320916	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
320956	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
320968	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
320978	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
321024	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
321220	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
321235	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
321297	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
321309	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
321317	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
321415	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
321453	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
321472	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
321507	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
321515	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
321526	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
321570	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
321609	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
321617	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
321635	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
321728	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
321813	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
321871	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
321873	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
321986	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
322010	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
322026	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
322044	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
322083	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
322118	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
322145	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
322152	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
322175	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
322199	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
322202	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
322248	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
322322	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
322356	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
322375	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
322423	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
322480	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
322560	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
322588	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
322593	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
322612	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
322674	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
322724	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
322811	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
322847	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
322894	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
323035	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
323129	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
323180	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
323391	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
323422	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
323451	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
323480	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
323564	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
323576	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
323632	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
323638	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
323656	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
323702	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
323708	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
323737	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
323761	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
323801	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
323810	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
323813	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
323817	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
323845	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
323915	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
323975	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
323991	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
324029	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
324069	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
324184	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
324188	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
324255	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
324364	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
324372	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
324416	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
324506	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
324533	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
324590	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
324637	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
324733	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
324786	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
324846	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
324881	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
324912	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
324947	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
324971	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
325244	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
325564	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
325708	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
325941	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
326029	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
326239	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
326679	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
326792	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
326803	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
326887	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
327304	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
327359	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
327388	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
327406	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
329139	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
329234	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
329388	2026-07-11	optical companion rejected by the Stage 5 WDS epoch-baseline CPM test (background star, not a physical companion)	
181115	2026-07-11	merged: gaia-keyed twin of hip:50520 (HD 89715 A) — AT-HYG cell held sibling B's source until the sibling-letter gate scrubbed it, splitting one star across two records	134604
222083	2026-07-11	merged: gaia-keyed twin of hip:72907 (HD 131860 A) — same sibling-letter crosswalk error	187130
265005	2026-07-11	merged: gaia-keyed twin of hip:48639 (HD 85458 A) — same sibling-letter crosswalk error	228532
263342	2026-07-11	merged: gaia-keyed twin of hip:43920 (HD 76635 A) — same sibling-letter crosswalk error	232306
308729	2026-07-11	merged: gaia-keyed twin of hip:100183 (HD 192759 A) — same sibling-letter crosswalk error	297316
317067	2026-07-11	merged: gaia-keyed twin of hip:90189 (HD 168713 A) — same sibling-letter crosswalk error	317039
241607	2026-07-11	dissolved: C no longer independently promoted (identifier-less CD pair-row primary dropped by promotion gates after the 2026-07 re-pulls)	
288628	2026-07-11	dissolved: C subsumed into an unresolved BC standalone aggregate that itself is not promoted	
316154	2026-07-11	dissolved: WDS re-paired AB as Aa,Ab; the blend-id Ab record is not promoted, leaving no successor key	
326865	2026-07-11	dissolved: system 01145-0503 no longer emitted by the pipeline	
5300	2026-07-11	parked: B's record absent from the current build (standalone row not promoted); own source gaia_dr3:458034214602238464 per SIMBAD xids	
83545	2026-07-11	parked: B's record absent from the current build; own source gaia_dr3:5336155814877448064 per SIMBAD xids	
310599	2026-07-11	parked: Cb's record absent from the current build; own source gaia_dr3:966952723521920512 per SIMBAD xids	
316133	2026-07-11	parked: B's record absent from the current build; own source gaia_dr3:3924604024024751616 per SIMBAD xids	
111548	2026-07-11	sigma Ori I: AB,I projection (524.7 arcsec) exceeds the 1 pc tidal limit once system distance coherence anchors the cluster at ~400 pc (clean-Gaia member anchor; was ~388 pc) — line-of-sight cluster member, not a bound companion	
323830	2026-07-11	22039-2451 C: AC pair reclassified optical by the Stage-5 escape-velocity gate once MSC per-component types replaced the generous default masses (v_t 2.5 km/s vs v_esc ~0.7 at 5.8 kAU); C is parallax-concordant CPM so the reject is likely the primary's own Aa,Ab/AB orbital PM — follow-up bead tracks an orbital-PM budget for the gate	
280179	2026-07-12	merged: synth twin and its first-class record are one star — the Stage-2 sibling-identity claims gate freed the member's own id (bridge in sameas-overrides.tsv)	257103
329658	2026-07-12	merged: synth twin and its first-class record are one star — the Stage-2 sibling-identity claims gate freed the member's own id (bridge in sameas-overrides.tsv)	155334
329688	2026-07-12	merged: synth twin and its first-class record are one star — the Stage-2 sibling-identity claims gate freed the member's own id (bridge in sameas-overrides.tsv)	183468
329709	2026-07-12	merged: synth twin and its first-class record are one star — the Stage-2 sibling-identity claims gate freed the member's own id (bridge in sameas-overrides.tsv)	280787
329723	2026-07-12	merged: synth twin and its first-class record are one star — the Stage-2 sibling-identity claims gate freed the member's own id (bridge in sameas-overrides.tsv)	315093
329792	2026-07-12	merged: synth twin and its first-class record are one star — the Stage-2 sibling-identity claims gate freed the member's own id (bridge in sameas-overrides.tsv)	317549
329877	2026-07-12	merged: synth twin and its first-class record are one star — the Stage-2 sibling-identity claims gate freed the member's own id (bridge in sameas-overrides.tsv)	317111
329966	2026-07-12	merged: synth twin and its first-class record are one star — the Stage-2 sibling-identity claims gate freed the member's own id (bridge in sameas-overrides.tsv)	309217
96209	2026-07-12	dissolved: component no longer emitted after the Stage-2 sibling-identity claims gate + system-PM CPM verdicts re-classified its pair	
184014	2026-07-12	dissolved: component no longer emitted after the Stage-2 sibling-identity claims gate + system-PM CPM verdicts re-classified its pair	
189239	2026-07-12	dissolved: component no longer emitted after the Stage-2 sibling-identity claims gate + system-PM CPM verdicts re-classified its pair	
257426	2026-07-12	dissolved: component no longer emitted after the Stage-2 sibling-identity claims gate + system-PM CPM verdicts re-classified its pair	
258856	2026-07-12	dissolved: inner-pair member's inherited photometry came from a sibling-claimed identity; the Stage-2 sibling-identity claims gate unbound it and the record has no honest brightness source	
293009	2026-07-12	dissolved: component no longer emitted after the Stage-2 sibling-identity claims gate + system-PM CPM verdicts re-classified its pair	
297645	2026-07-12	dissolved: component no longer emitted after the Stage-2 sibling-identity claims gate + system-PM CPM verdicts re-classified its pair	
300472	2026-07-12	dissolved: component no longer emitted after the Stage-2 sibling-identity claims gate + system-PM CPM verdicts re-classified its pair	
301323	2026-07-12	dissolved: component no longer emitted after the Stage-2 sibling-identity claims gate + system-PM CPM verdicts re-classified its pair	
309030	2026-07-12	dissolved: component no longer emitted after the Stage-2 sibling-identity claims gate + system-PM CPM verdicts re-classified its pair	
309345	2026-07-12	dissolved: component no longer emitted after the Stage-2 sibling-identity claims gate + system-PM CPM verdicts re-classified its pair	
313077	2026-07-12	dissolved: component no longer emitted after the Stage-2 sibling-identity claims gate + system-PM CPM verdicts re-classified its pair	
316432	2026-07-12	dissolved: component no longer emitted after the Stage-2 sibling-identity claims gate + system-PM CPM verdicts re-classified its pair	
318203	2026-07-12	dissolved: component no longer emitted after the Stage-2 sibling-identity claims gate + system-PM CPM verdicts re-classified its pair	
320958	2026-07-12	dissolved: component no longer emitted after the Stage-2 sibling-identity claims gate + system-PM CPM verdicts re-classified its pair	
321859	2026-07-12	dissolved: component no longer emitted after the Stage-2 sibling-identity claims gate + system-PM CPM verdicts re-classified its pair	
322162	2026-07-12	dissolved: the Stage-2 sibling-identity claims gate stripped the letter's stolen identity and no honest position source remains (no own astrometry, no anchor-offset chain)	
323305	2026-07-12	dissolved: component no longer emitted after the Stage-2 sibling-identity claims gate + system-PM CPM verdicts re-classified its pair	
323393	2026-07-12	dissolved: component no longer emitted after the Stage-2 sibling-identity claims gate + system-PM CPM verdicts re-classified its pair	
323960	2026-07-12	dissolved: component no longer emitted after the Stage-2 sibling-identity claims gate + system-PM CPM verdicts re-classified its pair	
324748	2026-07-12	dissolved: component no longer emitted after the Stage-2 sibling-identity claims gate + system-PM CPM verdicts re-classified its pair	
324772	2026-07-12	dissolved: component no longer emitted after the Stage-2 sibling-identity claims gate + system-PM CPM verdicts re-classified its pair	
325111	2026-07-12	dissolved: component no longer emitted after the Stage-2 sibling-identity claims gate + system-PM CPM verdicts re-classified its pair	
326092	2026-07-12	dissolved: component no longer emitted after the Stage-2 sibling-identity claims gate + system-PM CPM verdicts re-classified its pair	
327246	2026-07-12	dissolved: component no longer emitted after the Stage-2 sibling-identity claims gate + system-PM CPM verdicts re-classified its pair	
327297	2026-07-12	dissolved: component no longer emitted after the Stage-2 sibling-identity claims gate + system-PM CPM verdicts re-classified its pair	
327346	2026-07-12	dissolved: component no longer emitted after the Stage-2 sibling-identity claims gate + system-PM CPM verdicts re-classified its pair	
327407	2026-07-12	dissolved: component no longer emitted after the Stage-2 sibling-identity claims gate + system-PM CPM verdicts re-classified its pair	
327408	2026-07-12	dissolved: component no longer emitted after the Stage-2 sibling-identity claims gate + system-PM CPM verdicts re-classified its pair	
327439	2026-07-12	dissolved: component no longer emitted after the Stage-2 sibling-identity claims gate + system-PM CPM verdicts re-classified its pair	
329724	2026-07-12	dissolved: inner-pair member's inherited photometry came from a sibling-claimed identity; the Stage-2 sibling-identity claims gate unbound it and the record has no honest brightness source	
329756	2026-07-12	dissolved: inner-pair member's inherited photometry came from a sibling-claimed identity; the Stage-2 sibling-identity claims gate unbound it and the record has no honest brightness source	
329787	2026-07-12	dissolved: inner-pair member's inherited photometry came from a sibling-claimed identity; the Stage-2 sibling-identity claims gate unbound it and the record has no honest brightness source	
329834	2026-07-12	dissolved: inner-pair member's inherited photometry came from a sibling-claimed identity; the Stage-2 sibling-identity claims gate unbound it and the record has no honest brightness source	
329860	2026-07-12	dissolved: inner-pair member's inherited photometry came from a sibling-claimed identity; the Stage-2 sibling-identity claims gate unbound it and the record has no honest brightness source	
329876	2026-07-12	dissolved: inner-pair member's inherited photometry came from a sibling-claimed identity; the Stage-2 sibling-identity claims gate unbound it and the record has no honest brightness source	
