a	b	note
synth:12459-7511-B	gaia_dr3:5837620047225213824	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:20426+1244-B	gaia_dr3:1755224009981286272	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:20450+1244-B	gaia_dr3:1755189379660877312	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:01005-1705-B	gaia_dr3:2359083771708433024	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:16409-3836-B	gaia_dr3:6017561069344842368	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:19266+2619-B	gaia_dr3:2024779425996543616	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:06482+5542-B	gaia_dr3:994164055761558656	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:14178+4845-B	gaia_dr3:1507856438014052992	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:14142-0831-B	gaia_dr3:3639228358015901696	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:17053+5428-B	gaia_dr3:1420101696285626624	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:19082+3829-B	gaia_dr3:2099222754061724672	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:01443+0929-B	gaia_dr3:2572433351559023616	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:17189-2400-B	gaia_dr3:4111173378983105920	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:08231+2001-B	gaia_dr3:663434291018997248	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:23595+3343-B	gaia_dr3:2875096978193654528	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:19266+2719-B	gaia_dr3:2025720637966514688	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:19388+1834-B	gaia_dr3:1824360137241603840	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:14226-0746-B	gaia_dr3:3639520621950395776	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:05068-0439-B	gaia_dr3:3212019815194396288	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:15075+5516-Ab	gaia_dr3:1600436485302135680	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:20319-4054-B	gaia_dr3:6679930616490608000	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:04448+0517-B	gaia_dr3:3281945902861450624	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:23022+8014-C	gaia_dr3:2285850524863568256	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:08211+6527-C	gaia_dr3:1091831612070647680	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:22039-2451-C	gaia_dr3:6812422832786523776	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:01051+1457-C	gaia_dr3:2777309064014184832	member now promotes on its own DR3 source (astrometry backlog fill / live SIMBAD re-pull, same physical star as the synth twin)
synth:14182-2731-D	hip:69894	member now promotes on its own DR3 source after the Stage-2 sibling-identity claims gate freed it (same physical star as the synth twin)
synth:19463+1037-D	gaia_dr3:4302054339959905920	member now promotes on its own DR3 source after the Stage-2 sibling-identity claims gate freed it (same physical star as the synth twin)
synth:13401-6033-Ca	gaia_dr3:5868982551292968320	member now promotes on its own DR3 source after the Stage-2 sibling-identity claims gate freed it (same physical star as the synth twin)
synth:22450+6808-Cb	gaia_dr3:2224986268437189888	member now promotes on its own DR3 source after the Stage-2 sibling-identity claims gate freed it (same physical star as the synth twin)
synth:01178+4901-Cb	gaia_dr3:403123332598347392	member now promotes on its own DR3 source after the Stage-2 sibling-identity claims gate freed it (same physical star as the synth twin)
synth:00047+3416-Db	gaia_dr3:2875176250406193920	member now promotes on its own DR3 source after the Stage-2 sibling-identity claims gate freed it (same physical star as the synth twin)
synth:21221+1948-Bb	gaia_dr3:1790202571530814464	member now promotes on its own DR3 source after the Stage-2 sibling-identity claims gate freed it (same physical star as the synth twin)
synth:12357-1650-Bb	gaia_dr3:3523321789291000448	member now promotes on its own DR3 source after the Stage-2 sibling-identity claims gate freed it (same physical star as the synth twin)
synth:00283+6344-Cb	gaia_dr3:431086765156056960	member now promotes on its own DR3 source after the Stage-2 sibling-identity claims gate freed it (same physical star as the synth twin)
synth:21334+3058-Bb	gaia_dr3:1850540432473446528	member now promotes on its own DR3 source after the Stage-2 sibling-identity claims gate freed it (same physical star as the synth twin)
gl:Gl_157.1	gl:GJ_9140	CNS5 renumbers this Gliese-supplement entry into the GJ 9xxx block; both designations name the same star, and gl: is its only canonical key
gl:Gl_181.1	gl:GJ_9171	CNS5 renumbers this Gliese-supplement entry into the GJ 9xxx block; both designations name the same star, and gl: is its only canonical key
gl:Gl_223.2	gl:GJ_9193	CNS5 renumbers this Gliese-supplement entry into the GJ 9xxx block; both designations name the same star, and gl: is its only canonical key
gl:Gl_226.1	gl:GJ_9197	CNS5 renumbers this Gliese-supplement entry into the GJ 9xxx block; both designations name the same star, and gl: is its only canonical key
gl:Gl_231.3	gl:GJ_9211	CNS5 renumbers this Gliese-supplement entry into the GJ 9xxx block; both designations name the same star, and gl: is its only canonical key
